    INFO: 2024-09-18 11:11:13,586:               log.py:   20: Logging to /Users/isaacleong/Library/CloudStorage/OneDrive-AustralianNationalUniversity/work/Year_2/Sem_2/ECON2026/Week7/mdpdf.log
   DEBUG: 2024-09-18 11:11:13,587:               cli.py:  103: Week7.md
    INFO: 2024-09-18 11:11:13,588:         converter.py:   14: Week7.md
   DEBUG: 2024-09-18 11:11:13,592:      pdf_renderer.py:  470: printSegment: The Foreign Exchange Market
   DEBUG: 2024-09-18 11:11:13,595:      pdf_renderer.py:  470: printSegment: Exchange Rates and Trade
   DEBUG: 2024-09-18 11:11:13,596:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,597:      pdf_renderer.py:  470: printSegment: A nominal rate
   DEBUG: 2024-09-18 11:11:13,600:      pdf_renderer.py:  470: printSegment:  is the price of one currency in terms of another currency
   DEBUG: 2024-09-18 11:11:13,602:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,605:      pdf_renderer.py:  470: printSegment: Changes in the exchange rate between the dollar and foreign currencies affect the prices that
   DEBUG: 2024-09-18 11:11:13,605:      pdf_renderer.py:  470: printSegment: Australian consumers pay for foreign imports.
   DEBUG: 2024-09-18 11:11:13,606:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,606:      pdf_renderer.py:  470: printSegment: Appreciation
   DEBUG: 2024-09-18 11:11:13,607:      pdf_renderer.py:  470: printSegment:  is an increase in the value of a currency in exchange for another currency.
   DEBUG: 2024-09-18 11:11:13,607:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,608:      pdf_renderer.py:  470: printSegment: Depreciation
   DEBUG: 2024-09-18 11:11:13,609:      pdf_renderer.py:  470: printSegment:  is a decrease in the value of a currency in exchange for another currency.
   DEBUG: 2024-09-18 11:11:13,609:      pdf_renderer.py:  470: printSegment: Direct Quotations
   DEBUG: 2024-09-18 11:11:13,610:      pdf_renderer.py:  470: printSegment: Direct quotations
   DEBUG: 2024-09-18 11:11:13,613:      pdf_renderer.py:  470: printSegment:  are exchange rates quoted as units of domestic currency per unit of foreign currency. 1.29 AUD
   DEBUG: 2024-09-18 11:11:13,614:      pdf_renderer.py:  470: printSegment: (domestic currency) for 1 USD (foreign currency) as of 18/04/2021.
   DEBUG: 2024-09-18 11:11:13,614:      pdf_renderer.py:  470: printSegment: Indirect Quotations
   DEBUG: 2024-09-18 11:11:13,615:      pdf_renderer.py:  470: printSegment: Indirect quotations
   DEBUG: 2024-09-18 11:11:13,618:      pdf_renderer.py:  470: printSegment:  are exchange rates as units of foreign currency per unit of domestic currency. 0.77 USD
   DEBUG: 2024-09-18 11:11:13,619:      pdf_renderer.py:  470: printSegment: (foreign currency)  for 1 AUD (domestic currency) as of 18/04/2021
   DEBUG: 2024-09-18 11:11:13,620:      pdf_renderer.py:  470: printSegment: <ins>
   DEBUG: 2024-09-18 11:11:13,621:      pdf_renderer.py:  470: printSegment: Exchange rates are volatile
   DEBUG: 2024-09-18 11:11:13,623:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2024-09-18 11:11:13,624:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2024-09-18 11:11:13,625:      pdf_renderer.py:  470: printSegment: </ins>
   DEBUG: 2024-09-18 11:11:13,625:      pdf_renderer.py:  470: printSegment: Real Exchange Rate
   DEBUG: 2024-09-18 11:11:13,626:      pdf_renderer.py:  470: printSegment: The 
   DEBUG: 2024-09-18 11:11:13,627:      pdf_renderer.py:  470: printSegment: real exchange rate
   DEBUG: 2024-09-18 11:11:13,628:      pdf_renderer.py:  470: printSegment:  is the rate at which goods and services in one country can be exchanged for goods and
   DEBUG: 2024-09-18 11:11:13,629:      pdf_renderer.py:  470: printSegment: services in another country.
   DEBUG: 2024-09-18 11:11:13,629:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-09-18 11:11:13,630:      pdf_renderer.py:  470: printSegment: $$
   DEBUG: 2024-09-18 11:11:13,630:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-09-18 11:11:13,631:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,631:      pdf_renderer.py:  470: printSegment: text{readl exchange rate} = 
   DEBUG: 2024-09-18 11:11:13,632:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,632:      pdf_renderer.py:  470: printSegment: frac{
   DEBUG: 2024-09-18 11:11:13,633:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,633:      pdf_renderer.py:  470: printSegment: text{exchange rate} 
   DEBUG: 2024-09-18 11:11:13,634:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,634:      pdf_renderer.py:  470: printSegment: times 
   DEBUG: 2024-09-18 11:11:13,635:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,636:      pdf_renderer.py:  470: printSegment: text{price of good in
   DEBUG: 2024-09-18 11:11:13,636:      pdf_renderer.py:  470: printSegment: domestic}}{
   DEBUG: 2024-09-18 11:11:13,637:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,637:      pdf_renderer.py:  470: printSegment: text{price of same good in foreign}}
   DEBUG: 2024-09-18 11:11:13,638:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-09-18 11:11:13,638:      pdf_renderer.py:  470: printSegment: $$
   DEBUG: 2024-09-18 11:11:13,639:      pdf_renderer.py:  470: printSegment: For example, we can do this with the Big Mac price
   DEBUG: 2024-09-18 11:11:13,642:      pdf_renderer.py:  235: /Users/isaacleong/Library/CloudStorage/OneDrive-AustralianNationalUniversity/work/Year_2/Sem_2/ECON2026/Week7/big_mac_comparison_example.png, 2162, 1618
   DEBUG: 2024-09-18 11:11:13,709:      pdf_renderer.py:  470: printSegment: Note that the story can be completely different when comparing big mac versus comparin CPI
   DEBUG: 2024-09-18 11:11:13,710:      pdf_renderer.py:  470: printSegment: Exchange Rates in the Long Run
   DEBUG: 2024-09-18 11:11:13,710:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,711:      pdf_renderer.py:  470: printSegment: The law of one price
   DEBUG: 2024-09-18 11:11:13,711:      pdf_renderer.py:  470: printSegment:  is the idea that identical products should sell for the same price everywhere.
   DEBUG: 2024-09-18 11:11:13,712:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,712:      pdf_renderer.py:  470: printSegment: The law of one price is the basis for 
   DEBUG: 2024-09-18 11:11:13,713:      pdf_renderer.py:  470: printSegment: the theory of purchasing power parity (PPP)
   DEBUG: 2024-09-18 11:11:13,713:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2024-09-18 11:11:13,714:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,714:      pdf_renderer.py:  470: printSegment: Theory of purchasing power parity (PPP)
   DEBUG: 2024-09-18 11:11:13,716:      pdf_renderer.py:  470: printSegment:  states that exchange rates move to equalize the
   DEBUG: 2024-09-18 11:11:13,716:      pdf_renderer.py:  470: printSegment: purchasing power of different currencies.
   DEBUG: 2024-09-18 11:11:13,717:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,720:      pdf_renderer.py:  470: printSegment: In the long run, an exchange rate should be at a level that the equivalent amount of any country’s
   DEBUG: 2024-09-18 11:11:13,728:      pdf_renderer.py:  470: printSegment: currency can buy the same amount of goods and services.
   DEBUG: 2024-09-18 11:11:13,729:      pdf_renderer.py:  470: printSegment: Example of the Theory of Purchasing Power Parity (PPP)
   DEBUG: 2024-09-18 11:11:13,729:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,730:      pdf_renderer.py:  470: printSegment: Purchasing Power Parity Theorems $
   DEBUG: 2024-09-18 11:11:13,730:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,732:      pdf_renderer.py:  470: printSegment: implies$ The different in price determines the nominal
   DEBUG: 2024-09-18 11:11:13,732:      pdf_renderer.py:  470: printSegment: exchange rate between two currencies.
   DEBUG: 2024-09-18 11:11:13,733:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,734:      pdf_renderer.py:  470: printSegment: Arbitrage profits will exist if the nominal rate is different from the actual price-level difference
   DEBUG: 2024-09-18 11:11:13,734:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,734:      pdf_renderer.py:  470: printSegment: $
   DEBUG: 2024-09-18 11:11:13,735:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,736:      pdf_renderer.py:  470: printSegment: implies$ Maney exchange for the two currencies
   DEBUG: 2024-09-18 11:11:13,736:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,736:      pdf_renderer.py:  470: printSegment: $
   DEBUG: 2024-09-18 11:11:13,737:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,737:      pdf_renderer.py:  470: printSegment: uparrow$ Demand for one current $
   DEBUG: 2024-09-18 11:11:13,738:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,739:      pdf_renderer.py:  470: printSegment: implies$ the current will appreciate (and the
   DEBUG: 2024-09-18 11:11:13,739:      pdf_renderer.py:  470: printSegment: other depreciate)
   DEBUG: 2024-09-18 11:11:13,740:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,740:      pdf_renderer.py:  470: printSegment: Then, the gap between the price level is fixed by changing the nominal rate
   DEBUG: 2024-09-18 11:11:13,741:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,742:      pdf_renderer.py:  470: printSegment: All arbitrage profits gaps are used.
   DEBUG: 2024-09-18 11:11:13,742:      pdf_renderer.py:  470: printSegment: PPP
   DEBUG: 2024-09-18 11:11:13,743:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-09-18 11:11:13,743:      pdf_renderer.py:  470: printSegment: s Prediction
   DEBUG: 2024-09-18 11:11:13,743:      pdf_renderer.py:  470: printSegment: If $
   DEBUG: 2024-09-18 11:11:13,744:      pdf_renderer.py:  470: printSegment: \
